id;name;ingredients;recipe;type;cuisine;minutes;calories;image;accepted
1;Штрудель яблочный;Мука 250, яйцо 1 шт., масло растительное 40, вода кипяченая теплая 60, уксус 2, масло или маргарин для смазывания 10, для начинки: яблоки 1000, изюм 50, миндаль 50, сухари толченые 50, сахар 100, корица 3, пудра сахарная 50, масло сливочное 10, соль 3.;В муку вводят яйцо, соль, масло, воду, уксус и приготавливают крутое тесто. Тесто не мешают, а выбивают о доску, пока оно не  перестанет прилипать к рукам и не появятся пузыри. Доску  посыпают мукой, кладут ком теста, слегка смачивают его  тепловатой водой, накрывают нагретой миской и оставляют на 30  мин. На свободный стол стелют салфетку, посыпают ее мукой,  кладут на нее предварительно раскатанное до толщины 5мм тесто,  подкладывают руку под салфетку и растягивают тесто от центра к  краям до толщины папиросной бумаги, оставшиеся толстые края  обрезают, образовавшиеся дырки заклеивают кусочками теста и тоже  растягивают. Дают тесту обсохнуть, затем смазывают его  растительным маслом или маргарином и 2/3 поверхности пласта  покрывают подготовленной начинкой. Приподнимая салфетку с одного  конца, сворачивают струдель, кладут его на противень, смазывают  растопленным маслом и пекут 45 минут в жарочном шкафу при  средней температуре, периодически сбрызгивая маслом. Горячий  струдель разрезают на куски толщиной 5-6 см и густо посыпают  сахарной пудрой. Начинку готовят так: яблоки очищают и нарезают тонкими ломтиками. Сухари, слегка поджаренные в масле, рассыпают по  смазанному маслом тесту, распределяют ровным слоем яблоки, изюм  и дробленый миндаль или орехи и посыпают сахаром, смешанным с  корицей.;Вторые блюда;Австрийская кухня;45;274;photo1.jpg;true
2;Фасоль по-американски;Фасоль 80, грудинка копченая 50, масло сливочное 20, лук репчатый 10, томат-пюре 10, зелень петрушки 5.;Мелко нарезанный лук пассируют в масле, добавляют томат-пюре и нарезанную соломкой копченую свиную грудинку, все вместе  поджаривают, заливают бульоном и варят, пока грудинка не станет  мягкой, после чего смешивают с отварной фасолью и тушат еще 10- 15 мин. Перед подачей посыпают мелко нарезанной зеленью  петрушки.;Вторые блюда;Американская кухня;15;73;photo2.jpg;true
3;Шашлык по-азербайджански;На 4 порции. Баранина (почечная часть или мякоть задней ноги) - 600 г. лук репчатый - 2 головки, уксус - 5 ст. л. масло сливочное - 25 г. лук зеленый - 100 г. помидоры свежие - 4 шт. соус ткемали - 3--4 ст. л. барбарис сушеный или свежий - 12-16 шт. лимон - 1 шт. укроп, зелень петрушки, соль, перец по вкусу.;Баранину нарезать кусками в форме кубиков (по 30-40 г.), положить в фарфоровую или эмалированную посуду, посолить,  посыпать молотым перцем, добавить мелко нарезанный или натертый  репчатый лук, зелень петрушки, винный уксус или лимонный сок,  перемешать, накрыть крышкой и поставить на 4-5 часов в холодное  место. Молодую баранину мариновать без добавления уксуса Куски мяса  нанизать на шампуры, смазать сливочным маслом и жарить до полной  готовности над раскаленными древесными углями баз пламени,  непрерывно повертывая шампуры. Готовый шашлык уложить на блюдо, украсить зеленью. Отдельно  подать крупно нарезанный зеленый лук, свежие помидоры, дольки  лимона, соус ткемали и барбарис.;Вторые блюда;Азербайджанская кухня;60;141;photo3.jpg;true
4;"Салат ""Минский""";Картофель 140, шампиньоны 60, лук репчатый 25, капуста квашенная 35, масло растительное 10, уксус (3%) 3, сахар 3.;К отварному картофелю, нарезанному мелкими ломтиками, добавляют нашинкованные капусту, репчатый лук и вареные шампиньоны.  Заправляют салат уксусом, растительным маслом и сахаром.;Салаты;Белорусская кухня;15;135;1130091.jpg;true
5;Суп из шампиньонов;Шампиньоны 100, масло сливочное 10, лук репчатый 10, мука 5, бульон 200, смета а 30, яйцо 1/2 шт., зелень петрушки 5, перец молотый, соль.;К отварному картофелю, нарезанному мелкими ломтиками, добавляют нашинкованные капусту, репчатый лук и вареные шампиньоны.  Заправляют салат уксусом, растительным маслом и сахаром.;Первые блюда;Бельгийская кухня;10;29;p_O.jpg;true
6;Харчо по-грузински;Говядина 190, или баранина 180, рис 25, жир животный 10, лук репчатый 30, чеснок 3, томат-пюре 10, ткемали 10, или лаваш кислый 4, хмели-сунели 0,4, специи, перец стручковый, кинза 10, соль.;Грудинку (Кость предварительно удаляют) рубят вместе с хрящами кусочками по 25-30 г, заливают холодной водой и варят,  периодически снимая пену. Затем кладут замоченный в воде рис,  пассированный лук, доводят блюдо до готовности, заправляют  соусом ткемали, рубленой зеленью кинзы, толченым чесноком,  хмели-сунели, перцем, лавром, солью и кипятят еще 3-5 мин.;Первые блюда;Грузинская кухня;90;90;recept_4443_r9s1.jpg;true
7;Салат датский;Макароны 80, морковь 30, сельдерей (Корень) 20, капуста цветная 50, ветчина 80, масло растительное 10, уксус 5, майонез 10, горчица 2, соль.;Макароны отваривают в соленой воде. Морковь и корень сельдерея, нарезаные кубиками, цветную капусту, разобраную на кочешки,  отваривают в подсоленной воде, не давая развариться. Охлажденные  овощи перемешивают с макаронами, заправляют майонезом,  растительным маслом, уксусом, горчицей и добавляют нарезанную  полосками ветчину или колбасу.;Салаты;Датская кухня;20;185;datskii-salat-iz-vermisheli_1287917984_0.jpg;true
8;Курица соленая с ананасом;Курица 200, ананас 200, майонез 20, сливки 20, салат зеленый 10, соль, сахар.;Воду кипятят с солью и сахаром и охлаждают. Курицу потрошат, вымывают, разделяют на порции и выдерживают в приготовленном  рассоле в теч 2 дней, время от времени переворачивая. Затем  тушку вынимают, отваривают в небольшом количестве воды, снимают  с нее кожу и мякоть отделяют от костей. Майонез смешивают со  сливками и добавляют немного ананасового сока. Куски курицы  укладывают на листья салата, посыпают их тертым ананасом и  поливают соусом. Отдельно подают запеченный картофель.;Вторые блюда;Датская кухня;3;126;df88fa1f0e79df0352be18935e6e27e1.jpg;true
9;Салат египетский ;Фисташки 60, помидоры 120, лук репчатый 25, перец красный молотый, соль.;Помидоры очищают от кожицы, удаляют семена, мелко нарезают, смешивают с нашинкованным луком, толчеными фисташками, солью и  молотым красным перцем. Смесь должна постоять 10 минут, после  чего салат готов к подаче на стол.;Салаты;Египетская кухня;10;186;p_O_1.jpg;true
10;Салат индийский;"Фасоль 50, картофель 50, помидоры 25, масло растительное 10, лук 25, чеснок 2, порошок ""Карри"" 2, лимон 1/6 шт., соль.";"Нашинкованный лук и чеснок обжаривают в масле до золотистого цвета, всыпают порошок ""Карри"", выдержав на огне 3 минут, кладут  нарезанные помидоры и отварную фасоль, затем мелко нарезанный  картофель. Перед подачей добавляют лимонный сок и соль.";Вторые блюда;Индийская кухня;120;150;unnamed.jpg;true
11;Суп-крем из чечевицы;Чечевица 100, лук репчатый 50, чеснок 5, мука 10, масло оливковое 10, гренки 30, яйцо 1/2 шт., перец молотый красный и черный, соль.;Отваривают чечевицу, добавляют мелко нарезанный репчатый лук, чеснок, доводят все до готовности и протирают через сито.  Пассируют на растительном масле муку, вводят красный и черный  молотый перец, разбавляют муку бульоном или чечевичным отваром и  соединяют с протертой крупой. Затем суп солят. Подают его с  маленькими гренками и мелко рубленными крутым яйцом.;Первые блюда;Иорданская кухня;60;202;sup-pyure-iz-chechevitsy-s-kuritsej-1024x725.jpg;true
12;"Спагетти ""Ницца""";Спагетти 60, масло оливковое 20, лук репчатый 10, чеснок 2, помидоры 20, сыр 20, соль.;Отваривают спагетти. Пассируют на сливочном масле мелко нарезанный лук и чеснок, добавляют мелко нарезанные помидоры,  подрумянивают их вместе с луком и вводят спагетти, осторожно  перемешивая их. Отдельно подают тертый сыр.;Вторые блюда;Итальянская кухня ;40;204;unnamed_1.jpg;true
13;Суп из помидоров с клецками из базилика;На 4 порции: 2 кг помидоров, 200 г репчатого лука 50 г копченого шпика, 2 бульонных кубика 1 пучок базилика, 125 мл., молока, соль 65 г муки, 1 яйцо;Снять с помидоров кожуру, крупно нарезать. Репчатый лук очистить и мелко порубить. Шпик нарезать кубиками. Потушить, пока они не  станут прозрачными. Добавить помидоры и бульонные кубики, тушить  приблизительно 15 мин.  Несколько листочков отложить, оставшиеся мелко нарезать. Доба- вить  муки. Помешивать, пока тесто в виде гладкого кома не отделится  от  дна посуды. Кастрюлю снять с огня. В массу вбить яйцо.   Охлажденное тесто перемешать с базиликом, слепить клецки,  оставить в супе, пока они не всплывут. Украсить базиликом.   В одной порции 410 ккал;Первые блюда;Итальянская кухня ;15;300;p_O_2.jpg;true
14;"Суп ""Минестрон""";Ветчина жирная 20, ветчина постная 20, лук репчатый 20, морковь 20, капуста белокочанная 30, картофель 30, помидоры свежие 50, горох 10, фасоль 25, чеснок 3, рис 10, сыр 20, базилик 2, лавр, соль.;Натирают на терке половину полагающейся по рецепту жирной ветчины, постную ветчину нарезают кубиками и оба продукта  поджаривают до бледно-желтого цвета с тонко нарезанным луком.  Овощи мелко нарезают, добавляют базилик и лавр и обжаривают до  желтизны. Ветчину смешивают с овощами, заливают присоленным  бульоном, кладут очищенные помидоры (Без кожицы), горох, фасоль,  рис и варят на слабом огне 45-50 мин. Оставшуюся половину жирной  ветчины растирают с чесноком и вводят в суп в самом конце варки.  Отдельно подают тертый сыр.;Первые блюда;Итальянская кухня ;80;72;15666548371.jpg;true
15;Суп с хлебом по-итальянски;"Крошки белого хлеба 20, сыр ""Пармезан"" или иной 210, яйцо 1/2 шт., бульон 400, соль.";Хлебные крошки хорошо перемешивают с тертым сыром и взбитым яйцом, солят, перчат, приправляют мускатным орехом и вводят эту  смесь при непрерывном помешивании в бульон. Кастрюлю накрывают  крышкой и ставят на слабый огонь на 7-8 мин. Перед подачей  помешивают еще раз, чтобы не образовались комки.;Первые блюда;Итальянская кухня ;10;200;Acquacotta_cr.jpg;true
16;Балиш (пирог);Мука 100, масло сливочное 20, сметана 30, сахар 5, яйцо 1/4 шт., баранина 110, курица 100, рис 15, лук репчатый 20, перец, соль.;Мякоть баранины, нарезанную кубиками, соединяют с сырым рисом, луком, солью, перцем и водой. На сметане с маслом, добавив соль  и сахар, замешивают сдобное тесто и раскатывают его в два пласта  толщиной 1 см. Один пласт укладывают на противень, кладут ровным  слоем фарш, на него - тонко нарезанное филе курицы, начинку  накрывают вторым пластом, края защипывают. Выпекают пирог в  жарочном шкафу, время от времени вливая через проколы в тесте  бульон. Подают в горячем виде.;Вторые блюда;Казахская кухня;60;183;b2a00a2b.jpg;true
17;Салат по-казахски ;Говядина 90, сало растительное 2, яйцо 1 шт., картофель 50, морковь 15, огурцы соленые 50, горошек зеленый 10, яблоки свежие 35, майонез 40, сметана 15, перец, зелень.;Жареное мясо, вареные картофель и морковь, соленые огурцы, очищенные от кожицы, и свежие яблоки нарезают тонкими ломтиками,  добавляют зеленый горошек и перемешивают. Заправив салат перцем,  сметаной и майонезом, выкладывают его в салатницу, украшают  кусочками мяса, яблок, омлетом, зеленью.;Салаты;Казахская кухня;40;153;https___img.anews.com_media_posts_images_20181113_100681692.jpg;true
18;"Салат ""Карельский""";Икра свежая 75, молоки 30, печень рыбы 30, лук зеленый или репчатый 25.;Икру свежей рыбы солят, а молоки и печень варят. Затем икру, молоки, печень и лук рубят, солят и перемешивают.;Салаты;Карельская кухня;30;176;salat_quotdushechkaquot-664603.jpg;true
19;Женмомо (Изделие из теста);Мука пшеничная 80, масло хлопковое 5, сода 0,5, дрожжи 3;Кислое тесто соединяют с пресным тестом в пропорции 1: 1, натирают питьевой содой, затем добавляют растительное масло,  несколько раз обваливают ком в муке и натирают содой,  разделывают мелкие шарики и отваривают их на пару в течение 40- 50 мин. Подают к чаю.;Вторые блюда;Киргизская кухня;50;268;pilita-sladkoe-izdelie-iz-testa-e1576154146667.jpg;true
20;Самса (Изделие из теста);Мука пшеничная 80, баранина 80, лук репчатый 50, жир бараний топленый 3, перец молотый красный 0,5.;Фарш из нарубленого кусочками сырого мяса, рубленого сырого репчатого лука и перца кладут на лепешки из пресного теста,  формуют пирожки и выпекают их в специальной печи (Тандыре).;Вторые блюда;Киргизская кухня;30;389;b0a987b6.jpg;true
21;Шорпо (Суп);Баранина 170, вода 300, картофель 170, помидоры 50, лук репчатый 20, сало баранье (Сырец) 30, перец 0,5, зелень, соль.;Баранину рубят кусочками с костью, посыпают солью и перцем, кладут в котел с жиром и жарят до образования на поверхности  поджаристой корочки, добавляют репчатый лук, нарезанный  кольцами, и свежие помидоры, затем вливают воду, дают прокипеть  в течение 5-10 минут, закладывают картофель, нарезанный  кубиками, и варят до готовности под крышкой. При подаче посыпают  зеленью.;Первые блюда;Киргизская кухня;30;54;shorpo-409463.jpg;true
22;Рыба, жареная в кисло-сладком соусе;Рыба 200, крахмал 20, яйцо 1/4 шт., сало свиное 30, соус соевый 5, водка 10, лук репчатый 10, лук зеленый 10, имбирь 10, сахар 20, уксус 10, бульон 20, соль.;Филе судака нарезают брусочками, смачивают в смеси белка и крахмала, разведенного холодной водой (1: 1), жарят во фритюре и  откидывают. Одновременно кипятят смесь из водки, уксуса,  крахмала, разведенного холодной водой (1: 2), не заправленного  бульона, соли, сахара, мелко рубленого имбиря, репчатого и  зеленого лука, нарезанного дольками. Подготовленную смесь  выливают на сковороду с жиром и проваривают до загустения,  непрерывно помешивая. Закладывают рыбу и, встряхивая сковороду,  перемешивают рыбу с соусом, после чего вливают растопленное  свиное сало.;Вторые блюда;Китайская кухня;40;121;scale_1200.jpg;true
23;Салат из овощей с перцем;Капуста белокочанная 180, морковь 40, перец стручковый красный сушеный, имбирь 1, перец душистый 7, масло кунжутное 20, сахар 10, уксус 5.;Белокочанную капусту нарезают шашками, сырую морковь - кружочками или соломкой, красный стручковый перец -  квадратиками. Подготовленную капусту варят вместе с морковью до  полуготовности, а затем откидывают, тщательно отжимают воду,  заправляют солью, сахаром, укусом и перемешивают. В сильно  нагретое кунжутное масло кладут душистый перец, прогревают его  не более полуминуты и извлекают, в то же масло кладут красный  стручковый перец и тотчас же (Через 1-2 сек) снимают сковороду с  огня, а масло вместе с красным стручковым перцем выливают в  заправленные овощи, перемешивают их и охлаждают.;Салаты;Китайская кухня;10;71;2-perets-sladkij-polza-i-vred-3.jpg;true
24;Яйца маринованные;Яйца 2шт., лук репчатый 10, соус соевый 30 (25 подается отдельно), водка 10, петрушка 10, сахар 20, укроп 10, бадьян, перец душистый, корица, гвоздика, соль.;Куриные или утиные яйца варят 10-12 минут, опускают в холодную воду, очищают от скорлупы, накалывают в нескольких местах и  снова варят 10-15 минут в воде с добавлением соевого соуса,  водки, бадьяна, душистого перца, корицы, гвоздики, имбиря,  петрушки, укропа. Яйца нарезают дольками и укладывают веером на  тарелку.;Вторые блюда;Китайская кухня;50;148;egg.jpg;true
25;Суп из цветной капусты;Капуста цветная 90, яйцо 1/2 шт., мука пшеничная 10, сыр тертый 5, бульон мясной (Или овощной отвар) 300, соль.;Цветную капусту тщательно промывают, заливают крутым подсоленным кипятком (Так, чтобы кипяток только покрыл капусту), варят около  30 минут на слабом огне и откидывают на сито. Сырые яичные  желтки немного прогревают, добавляют муку и тертый сыр, солят и  массу еще раз прогревают, помешивая, до загустения. Яичные белки  взбивают и соединяют с желточной массой, которая к этому времени  успела слегка остыть. Затем прогревают ее еще 5 минут - и соус  готов. В тарелку кладут цветную капусту, на нее соус и заливают  горячим бульоном.;Первые блюда;Кубинская кухня;30;28;creamy-roasted-cauliflower-soup-recipe-1-1_1571817213-e1571817255211-630x315.jpg;true
26;Оладьи картофельные по Литовски;Картофель 290, яйцо 1/4 шт., жир свиной 20, сметана 20, соль 1,5.;Тертый сырой картофель соединяют с яйцами, солью и перемешивают. Из полученной массы формуют оладьи и жарят их в свином жире. При  подаче поливают сметаной.;Вторые блюда;Литовская кухня;20;269;9e28768922cfb95d37c1e20312703be80c3b708eb2878ca02481b79f8cc14b21.jpg;true
27;"Жаркое ""Варадо де франчо"" (Коста Рика)";Цыпленок 350, лук репчатый 25, лимон 1/4 шт., чеснок 3, помидоры 80, лук зеленый 5, зелень петрушки 5, перец маринованный 10, масло сливочное или маргарин 30, перец молотый черный, мука 5, соль.;Цыпленка разделывают на восемь частей и в течение 2 часов маринуют, смазав смесью из лимонного сока, очень мелко  нарезанного лука, молотого перца и растертого с солью чеснока.  Затем обжаривают мясо в кипящем масле до золотистого цвета. Сняв  с помидоров кожицу, нарезают их кубиками. Зеленый лук и зелень  петрушки мелко рубят, высыпают вместе с помидорами в сотейник с  цыпленком и тушат до готовности на слабом огне. Добавляют масло,  нарубленный маринованный перец, бульон, дают прокипеть и  заправляют мукой. Отдельно подают отварной рис и зеленый салат.;Вторые блюда;Кухня стран Центральной Америки;180;248;1.jpg;true
28;Бами (индонезия);Орехи 60, лук репчатый 50, чеснок 2, масло растительное 25, мясо свиное 60, помидоры 180, грибы 20, стебли чеснока 5, перец красный маринованный 20, зелень петрушки 3, яйцо 1/2 шт., лимон 1/4 шт., перец, соль.;Из яиц, соли, воды готовят массу для омлета и дают ей постоять. Отваривают в течение 10 минут в крутом кипятке орехи. На  сковороду с разогретым маслом кладут нашинкованный лук и чеснок,  нарезанное кусочками мясо, очищенные от кожицы и измельченные  помидоры, нарезанные свежие грибы, мелко нарубленные стручки  перца, молодые стебли чеснока, зелень петрушки и все это тушат  30 мин. Орехи смешивают на сковороде с мясом и заправляют солью  и перцем. Готовят омлет и нарезают его полосками. Мясо и овощи  подают в глубокой посуде, полоски омлета кладут поверх мяса  крест-накрест, поливают соком лимона и посыпают зеленью.;Вторые блюда;Кухня стран Юго-Восточной Азии;60;219;depositphotos_218642584-stock-photo-asian-food-bami-goreng-noodles.jpg;true
29;Барабулька по-восточному (Камбоджа);Барабулька 200, помидоры 100, чеснок 3, вино белое сухое 10, масло растительное 20, шафран 0,2, зелень петрушки 5, перец по вкусу, соль.;Рыбу очищают, промывают, подсушивают, панируют в муке и жарят с обеих сторон на растительном масле. Помидоры очищают, разрезают  пополам, вынимают семена, нарезают кубиками, выдерживают в  растительном масле, добавляют толченый чеснок, рубленую  петрушку, белое вино, соль, перец, шафран, все вместе кипятят,  поливают этим соусом рыбу и ставят в жарочный шкаф на несколько  мин. Подают в холодном виде, полив отваром и украсив половинками  помидоров.;Вторые блюда;Кухня стран Юго-Восточной Азии;40;117;unnamed_2.jpg;true
30;Зате (индонезия);Мясо 100, лук репчатый 30, чеснок 2, орехи земляные 5, масло растительное 5, перец молотый черный, соль.;Курятину или молодую свинину нарезают небольшими кубиками и натирают смесью из нарубленого лука, растертого чеснока,  очищенных, слегка поджаренных орехов и растительного масла.  Выдерживают 1-2 часа, затем перчат, солят и обжаривают на  вертеле. Подают с рассыпчатым рисом и острым томатным соусом.;Вторые блюда;Кухня стран Юго-Восточной Азии;150;191;zate_bliudo-446776.jpg;true
31;Суп из свинины (Таиланд);Свинина 100, масло оливковое 20, лук-порей 30, сельдерей (Корень) 20, молоко кокосовое 10, уксус 5, мускатный орех, перец молотый черный, соль.;Нарезанную небольшими кусочками свинину отваривают в подсоленной воде, добавляют оливковое масло и тушат мясо, пока жидкость не  испарится. Отдельно отваривают в подсоленной воде белую часть  мелко нарезанного лука-порея и измельченный на терке корень  сельдерея, добавляют мясо, немного тертого мускатного ореха,  доводят суп до готовности, снимают его с огня, вливают кокосовое  молоко, уксус и заправляют солью и черным молотым перцем.;Первые блюда;Кухня стран Юго-Восточной Азии;60;153;1549506621_0_108_1920_1188_1400x0_80_0_0_405a3cf3ebe9a40ab6259dde92587a67.jpg;true
32;Мясо рубленое;Говядина 160, корейка копченая 30, лук репчатый 20, мука пшеничная 5, сметана 30, картофель 200, огурцы соленые 50, соль.;Корейку, нарубленную мелкими кубиками, обжаривают с луком и добавляют мясо, пропущенное через мясорубку с крупной решеткой.  Продолжая жаренье, посыпают мясо мукой, добавляют бульон,  сметану, специи и доводят до готовности. Подают с отварным  картофелем и соленым огурцом.;Вторые блюда;Латышская кухня;60;213;kotlety-iz-kurinogo-file-rublennye-s-maionezom-i-kraxmalom_1556862384_9_max.jpg;true
33;Оладьи картофельные со сметаной;Картофель 150, мука пшеничная 20, яйцо 1/2 шт., орех мускатный 0,2, масло растительное 5, сметана 30 или масло сливочное 10, соль.;Сырой картофель измельчают на терке, соединяют с мукой, сырыми яйцами, мускатным орехом, массу перемешивают и жарят оладьи.  Подают, полив сметаной или маслом.;Вторые блюда;Латышская кухня;40;133;9e28768922cfb95d37c1e20312703be80c3b708eb2878ca02481b79f8cc14b21.jpg;true
34;Галушки творожные;0,5 стакана муки, 600 г творога, 4 яичных белка, 30 г сливочного масла, 1,5 ст. ложки сахарного песка.;Творог пропустить через мясорубку, добавить масло, муку, сахар, соль, взбитые белки и хорошенько растереть. Полученное  тесто раскатать в жгут толщиной 1,5 см и нарезать галушки  шириной 1,5 см. Варить в подсоленной воде 15 минут. Подать со  сметаной.;Вторые блюда;Украинская кухня ;15;164;privately.ru_5-receptov-samyh-vkusnyh-varenikov-klassicheskie-sytnye-sladkie-i-dazhe-2.jpg;true
